roc_auc,roc_auc_mean,roc_auc_std,roc_auc_mean_std,pr_auc,pr_auc_mean,pr_auc_std,pr_auc_mean_std,f1,f1_mean,f1_std,f1_mean_std,brier,brier_mean,brier_std,brier_mean_std,precision,precision_mean,precision_std,precision_mean_std,recall,recall_mean,recall_std,recall_mean_std,top10_alert_precision,top10_alert_precision_mean,top10_alert_precision_std,top10_alert_precision_mean_std,sensor_scenario,event_q,deltaT_threshold,model,model_key,algorithm,algorithm_key,horizon_min,n_folds,n_samples,positive_rate
0.9318033943594661,0.9318033943594661,0.04977524705602128,0.932 ± 0.050,0.6401690622905345,0.6401690622905345,0.14428849224347082,0.640 ± 0.144,0.6184673010556365,0.6184673010556365,0.08361513427763344,0.618 ± 0.084,0.09006483886424498,0.09006483886424498,0.052220909662570814,0.090 ± 0.052,0.6137104897814659,0.6137104897814659,0.0828645714033947,0.614 ± 0.083,0.6250550978292914,0.6250550978292914,0.0898212391105227,0.625 ± 0.090,0.5426751592356688,0.5426751592356688,0.22958227416191204,0.543 ± 0.230,clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,10,5,10420,0.10057581573896353
0.9420746568702969,0.9420746568702969,0.031003253962569487,0.942 ± 0.031,0.6818123109469288,0.6818123109469288,0.11359870259815959,0.682 ± 0.114,0.6404580979120219,0.6404580979120219,0.08255075900365613,0.640 ± 0.083,0.05359081286267612,0.05359081286267612,0.030832917456116743,0.054 ± 0.031,0.6048588253792313,0.6048588253792313,0.11275485402523154,0.605 ± 0.113,0.6882904277456249,0.6882904277456249,0.05817253010931921,0.688 ± 0.058,0.5579617834394904,0.5579617834394904,0.22941433777072856,0.558 ± 0.229,clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,RF,rf,10,5,10420,0.10057581573896353
0.9445855508924634,0.9445855508924634,0.037272375088058717,0.945 ± 0.037,0.6649237738763047,0.6649237738763047,0.14004892339577674,0.665 ± 0.140,0.6262773704678386,0.6262773704678386,0.10758295156780873,0.626 ± 0.108,0.043409453514767375,0.043409453514767375,0.025262282748518643,0.043 ± 0.025,0.6600189570777806,0.6600189570777806,0.10146066050609719,0.660 ± 0.101,0.5988698591996082,0.5988698591996082,0.12154387643108301,0.599 ± 0.122,0.5630573248407643,0.5630573248407643,0.23578065859244401,0.563 ± 0.236,clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,XGBoost,xgb,10,5,10420,0.10057581573896353
0.9336207174768228,0.9336207174768228,0.039218306287345184,0.934 ± 0.039,0.6331884065209482,0.6331884065209482,0.19974449703384195,0.633 ± 0.200,0.5510930316104281,0.5510930316104281,0.1409934103606781,0.551 ± 0.141,0.060431246770889555,0.060431246770889555,0.03650682779674655,0.060 ± 0.037,0.6465684592329428,0.6465684592329428,0.20045292847870527,0.647 ± 0.200,0.5045192598454247,0.5045192598454247,0.16245701804008728,0.505 ± 0.162,0.5363057324840763,0.5363057324840763,0.2574068104293631,0.536 ± 0.257,clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,Logistic,logistic,10,5,10420,0.10057581573896353
0.9301570670658126,0.9301570670658126,0.039579198243485623,0.930 ± 0.040,0.6502254737074714,0.6502254737074714,0.13207060623650707,0.650 ± 0.132,0.5618635643753574,0.5618635643753574,0.08371397616999342,0.562 ± 0.084,0.04683088615955434,0.04683088615955434,0.027679845133616966,0.047 ± 0.028,0.7325744625744626,0.7325744625744626,0.12760516643914332,0.733 ± 0.128,0.45938205057918313,0.45938205057918313,0.07352015956938318,0.459 ± 0.074,0.5554140127388535,0.5554140127388535,0.2357720551858771,0.555 ± 0.236,clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,RF,rf,10,5,10420,0.10057581573896353
0.9304322494626447,0.9304322494626447,0.04251134531473821,0.930 ± 0.043,0.6676250391958781,0.6676250391958781,0.12311313402574978,0.668 ± 0.123,0.5879096784531568,0.5879096784531568,0.06928825976715909,0.588 ± 0.069,0.04666740694926893,0.04666740694926893,0.02852866932852579,0.047 ± 0.029,0.729965993634926,0.729965993634926,0.11855645475739675,0.730 ± 0.119,0.5000047444921997,0.5000047444921997,0.07802792748838455,0.500 ± 0.078,0.5452229299363057,0.5452229299363057,0.23121984152799666,0.545 ± 0.231,clean,0.9,3.3800000000000026,Causal-parents,CAUSAL_PARENTS,XGBoost,xgb,10,5,10420,0.10057581573896353
0.9101193310968589,0.9101193310968589,0.07341977052411235,0.910 ± 0.073,0.6001270246773098,0.6001270246773098,0.23232664085979238,0.600 ± 0.232,0.5295008235531111,0.5295008235531111,0.20467636012513404,0.530 ± 0.205,0.06731219198667,0.06731219198667,0.040091349370956854,0.067 ± 0.040,0.6841139833997596,0.6841139833997596,0.2055111201562319,0.684 ± 0.206,0.4393826160564512,0.4393826160564512,0.19344830877983438,0.439 ± 0.193,0.5222929936305732,0.5222929936305732,0.25845278427099977,0.522 ± 0.258,clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,10,5,10420,0.10057581573896353
0.9201584373694083,0.9201584373694083,0.04514535154067679,0.920 ± 0.045,0.6178543525355662,0.6178543525355662,0.15808884210514176,0.618 ± 0.158,0.4215431699642226,0.4215431699642226,0.17874252413700933,0.422 ± 0.179,0.049045163196726596,0.049045163196726596,0.026741476225512945,0.049 ± 0.027,0.7064465733235078,0.7064465733235078,0.16829778063564055,0.706 ± 0.168,0.31588261519444316,0.31588261519444316,0.154146166041978,0.316 ± 0.154,0.5312101910828024,0.5312101910828024,0.23213917352795682,0.531 ± 0.232,clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,10,5,10420,0.10057581573896353
0.9327860663508292,0.9327860663508292,0.05059149391701253,0.933 ± 0.051,0.642052715503865,0.642052715503865,0.14264103948683252,0.642 ± 0.143,0.5090264327138468,0.5090264327138468,0.12242617898899458,0.509 ± 0.122,0.05043841209635384,0.05043841209635384,0.03246204136890105,0.050 ± 0.032,0.7341668176171748,0.7341668176171748,0.13849814427299792,0.734 ± 0.138,0.4067998917317913,0.4067998917317913,0.14046101896394877,0.407 ± 0.140,0.5273885350318471,0.5273885350318471,0.22588577274340116,0.527 ± 0.226,clean,0.9,3.3800000000000026,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,XGBoost,xgb,10,5,10420,0.10057581573896353
0.8479120654001304,0.8479120654001304,0.06491571488578865,0.848 ± 0.065,0.4259811859533825,0.4259811859533825,0.17986519419011884,0.426 ± 0.180,0.41913844041663506,0.41913844041663506,0.11977981833494972,0.419 ± 0.120,0.12572427044587356,0.12572427044587356,0.05502814316868298,0.126 ± 0.055,0.3776650522764512,0.3776650522764512,0.08761841442731154,0.378 ± 0.088,0.4780359864282575,0.4780359864282575,0.17098992743500502,0.478 ± 0.171,0.41282051282051285,0.41282051282051285,0.1929795954508015,0.413 ± 0.193,clean,0.9,3.3800000000000026,DT-proxy base,DT_PROXY_BASE,Logistic,logistic,30,5,10406,0.10061502979050548
